北京大学	Peking University
郧阳师范高等专科学校	Yunyang Teachers College
广东培正学院	Guangdong Peizheng College
南宁师范高等专科学校	Nanning Teachers College
阿坝师范高等专科学校	Aba Teachers College
黔西南民族师范高等专科学校	Qianxinan normal college for Nationalities
昭通师范高等专科学校	Zhaotong Teachers College
思茅师范高等专科学校	Simao Teachers College
保山学院	Baoshan University
兰州城市学院	Lanzhou City University
和田师范专科学校	hotan teachers college
吕梁高等专科学校	Luliang College
广东白云学院	Guangdong Baiyun University
公安海警高等专科学校	Police College
青岛滨海学院	Qingdao Binhai University
江西医学院上饶分院	Shangrao branch of Jiangxi Medical College
景德镇学院	Jingdezhen University
萍乡学院	Pingxiang University
六盘水师范高等专科学校	Liupanshui Teachers College
新疆工业高等专科学校	Xinjiang Polytechnic College
新疆警官高等专科学校	Xinjiang police officer college
天津职业大学	tianjin professional college
抚顺职业技术学院	Fushun Vocational and Technical College
牡丹江大学	Mudanjiang University
镇江市高等专科学校	Zhenjiang college
南通职业大学	Nantong Vocational University
铁道警官高等专科学校	Railway Police College
海南大学三亚学院	Sanya College of Hainan University
广州航海高等专科学校	Guangzhou Maritime College
成都工业学院	Chengdu Technological University
私立华联学院	Private Hualian College
太原大学	taiyuan university
辽宁农业职业技术学院	liaoning agricultural college
阜新高等专科学校	Fuxin College
沙洲职业工学院	Shazhou Polytechnic
淮南联合大学	HUAINAN United University
福建商业高等专科学校	fujian commercial college
黎明职业大学	Liming Vocational University
信阳农业高等专科学校	Xinyang Agricultural College
湖南科技学院	Hunan University of science and technology
河南机电高等专科学校	Henan Mechanical and Electrical Engineering College
湖北警官学院	Hubei Police Officer College
鄂州职业大学	ezhou polytechnic
广西体育高等专科学校	Guangxi Institute of Physical Education
北京城市学院	Beijing City University
集宁师范高等专科学校	Jining Teachers College
辽宁警官高等专科学校	Liaoning Police Academy
长春汽车工业高等专科学校	Changchun Automobile Industry Institute
长春金融高等专科学校	Changchun Finance College
吉林公安高等专科学校	Jilin Police College
黑龙江工业学院	Heilongjiang Institute of Technology
扬州市职业大学	Yangzhou Vocational University
江苏理工学院	Jiangsu Institute of Technology
南京森林公安高等专科学校	nanjing forest police college
浙江水利水电专科学校	zhejiang water conservancy and hydropower college
福建华南女子职业学院	Fujian South China Women's Vocational College
辽宁交通高等专科学校	liaoning provincial college of communications
江西公安专科学校	Jiangxi Police College
九江职业大学	jiujiang vocational university
新余高等专科学校	Xinyu College
湖南财经高等专科学校	Hunan finance and Economics College
湖南公安高等专科学校	Hunan Police College
湖南女子职业大学	Hunan Women's Professional University
广西科技师范学院	Guangxi Normal University of science and technology
邕江大学	Yongjiang University
四川旅游学院	Sichuan Tourism University
成都纺织高等专科学校	chengdu textile college
文山师范高等专科学校	wenshan teachers' college
昆明冶金高等专科学校	Kunming Metallurgy College
合作民族师范高等专科学校	Cooperative normal college for Nationalities
乌鲁木齐职业大学	urumqi vocational university
河套大学	hetao university
河南商业高等专科学校	Henan Business College
河南财政税务高等专科学校	henan college of finance and taxation
武汉商业服务学院	Wuhan Business Service College
康定民族师范高等专科学校	Kangding normal college for Nationalities
黔南民族医学高等专科学校	Qiannan Ethnic Medical College
内蒙古民族高等专科学校	Inner Mongolia Nationalities College
贵州商学院	Guizhou Business College
上海出版印刷高等专科学校	Shanghai Publishing and Printing College
西安航空技术高等专科学校	Xi'an Aviation Technology College
承德石油高等专科学校	chengde petroleum college
仰恩大学	Yangon University
河南公安高等专科学校	Henan police college
湖北财经高等专科学校	Hubei College of Finance and Economics
兰州工业高等专科学校	Lanzhou Polytechnic College
新疆维吾尔医学专科学校	Xinjiang Uygur Medical College
邢台职业技术学院	xingtai polytechnic college
长春医学高等专科学校	Changchun Medical College
桂林师范高等专科学校	Guilin Normal College
桂林航天工业高等专科学校	Guilin College of Aerospace Technology
西安电力高等专科学校	Xi'an electricity College
郑州电力高等专科学校	Zhengzhou Electric Power College
上海杉达学院	sanda university
黄河科技学院	Huanghe University of science and technology
桂林旅游学院	Guilin Institute of Tourism
民办四川天一学院	Private Sichuan Tianyi University
浙江树人学院	Zhejiang Shuren University
长沙航空职业技术学院	changsha aeronautical vocational and technical college
郑州澍青医学高等专科学校	Zhengzhou Shuqing Medical College
天津医学高等专科学校	tianjin medical college
三江学院	Sanjiang University
黑龙江东方学院	East University of Heilongjiang
山西警官高等专科学校	Shanxi Police Academy
连云港师范高等专科学校	Lianyungang Teachers College
上海应用技术学院	Shanghai Institute of Applied Technology
浙江医药高等专科学校	Zhejiang Pharmaceutical College
泰州师范高等专科学校	Taizhou Teachers College
鹤岗师范高等专科学校	Hegang Teachers College
安徽医学高等专科学校	Anhui Medical College
亳州学院	Bozhou University
邢台医学高等专科学校	xingtai medical college
湖北中医药高等专科学校	Hubei College of Chinese Medicine
焦作师范高等专科学校	jiaozuo teachers college
安徽中医药高等专科学校	anhui college of traditional chinese medicine
郑州师范高等专科学校	Zhengzhou Teachers College
安徽新华学院	anhui xinhua university
烟台南山学院	yantai nanshan university
湘潭大学兴湘学院	Xingxiang College of Xiangtan University
重庆大学城市科技学院	College of urban science and technology, Chongqing University
华南理工大学广州汽车学院	Guangzhou Automobile College of South China University of Technology
广州大学华软软件学院	Huaruan Software College of Guangzhou University
中山大学南方学院	Southern College of Sun Yat sen University
广东外语外贸大学南国商学院	Nanguo School of business, Guangdong University of Foreign Studies
广东商学院华商学院	China Business School of Guangdong Business University
广东海洋大学寸金学院	Cunjin College of Guangdong Ocean University
华南农业大学珠江学院	Zhujiang college, South China Agricultural University
湖南师范大学树达学院	Shuda College of Hunan Normal University
湖南文理学院芙蓉学院	Furong College of Hunan University of Arts and Science
湖南理工学院南湖学院	South Lake Institute of Technology
衡阳师范学院南岳学院	Nanyue College of Hengyang Normal University
湖南中医药大学湘杏学院	Xiangxing College of Hunan University of traditional Chinese Medicine
广东技术师范学院天河学院	Tianhe College of Guangdong Normal University of Technology
东南大学成贤学院	Chengxian College of Southeast University
西安欧亚学院	xi'an eurasia university
上海建桥学院	Shanghai Jianqiao University
福建师范大学闽南科技学院	Minnan Institute of science and technology, Fujian Normal University
福建农林大学东方学院	Oriental College of Fujian agriculture and Forestry University
武汉大学珞珈学院	Luojia College of Wuhan University
沈阳建筑大学城市建设学院	School of urban construction, Shenyang Jianzhu University
大连医科大学中山学院	Zhongshan College of Dalian Medical University
辽宁师范大学海华学院	Haihua College of Liaoning Normal University
湖北工业大学工程技术学院	College of engineering and technology, Hubei University of Technology
武汉科技学院外经贸学院	School of foreign trade and economics, Wuhan University of science and technology
湖北民族学院科技学院	College of science and technology, Hubei University for Nationalities
湖北经济学院法商学院	School of law and business, Hubei University of Economics
武汉体育学院体育科技学院	School of sports science and technology, Wuhan Institute of Physical Education
襄樊学院理工学院	School of science and technology of Xiangfan University
孝感学院新技术学院	New Technology College of Xiaogan University
浙江工业大学之江学院	Zhijiang College of Zhejiang University of Technology
浙江师范大学行知学院	Xingzhi College of Zhejiang Normal University
宁波大学科学技术学院	School of science and technology, Ningbo University
杭州电子科技大学信息工程学院	School of information engineering, Hangzhou University of Electronic Science and technology
浙江理工大学科技与艺术学院	School of science and art, Zhejiang University of science and technology
浙江海洋学院东海科学技术学院	Donghai Institute of science and technology, Zhejiang Ocean University
浙江林学院天目学院	Tianmu College of Zhejiang Forestry University
温州医学院仁济学院	Renji College of Wenzhou Medical College
浙江中医药大学滨江学院	Binjiang College of Zhejiang University of traditional Chinese Medicine
湖州师范学院求真学院	Qiuzhen College of Huzhou Normal University
绍兴文理学院元培学院	Shaoxing University Yuanpei College
温州大学瓯江学院	Oujiang College of Wenzhou University
浙江工商大学杭州商学院	Hangzhou business school of Zhejiang Business University
嘉兴学院南湖学院	Nanhu College of Jiaxing University
浙江财经学院东方学院	Oriental College of Zhejiang University of Finance and Economics
大庆石油学院华瑞学院	Huarui College of Daqing Petroleum University
黑龙江大学剑桥学院	Cambridge College of Heilongjiang University
青岛理工大学琴岛学院	Qindao College of Qingdao University of Technology
中国石油大学胜利学院	Shengli College of China University of petroleum
赣南师范学院科技学院	College of science and technology of Gannan Normal University
福州大学阳光学院	Sunshine College of Fuzhou University
福州大学至诚学院	Zhicheng College of Fuzhou University
河南师范大学新联学院	Xinlian College of Henan Normal University
信阳师范学院华锐学院	Huarui College of Xinyang Normal University
安阳师范学院人文管理学院	School of Humanities and management, Anyang Normal University
河南理工大学万方科技学院	Wanfang College of science and technology, Henan University of Technology
兰州交通大学博文学院	College of liberal arts, Lanzhou Jiaotong University
兰州理工大学技术工程学院	School of technology and engineering, Lanzhou University of Technology
山西大学商务学院	Business School of Shanxi University
山西农业大学信息学院	School of information, Shanxi Agricultural University
新疆大学科学技术学院	College of science and technology, Xinjiang University
新疆农业大学科学技术学院	College of science and technology, Xinjiang Agricultural University
江南大学太湖学院	Taihu College of Jiangnan University
东北大学大连艺术学院	Dalian Art College of Northeast University
吉林艺术学院动画学院	Animation College of Jilin Art Institute
安徽工程科技学院机电学院	College of mechanical and electrical engineering of Anhui Institute of engineering and technology
安徽工业大学工商学院	Business School of Anhui University of Technology
安徽师范大学皖江学院	Wanjiang College of Anhui Normal University
安徽医科大学临床医学院	School of clinical medicine, Anhui Medical University
阜阳师范学院信息工程学院	School of information engineering, Fuyang Normal University
吉林师范大学博达学院	Boda College of Jilin Normal University
长春大学旅游学院	School of tourism, Changchun University
山东科技大学泰山科技学院	Taishan College of science and technology, Shandong University of science and technology
上海外国语大学贤达经济人文学院	Xianda School of economics and humanities, Shanghai International Studies University
温州大学城市学院	Wenzhou University's City College
广西师范大学漓江学院	Lijiang College of Guangxi Normal University
广西师范学院师园学院	Teacher garden College of Guangxi Normal University
桂林工学院博文管理学院	School of Bowen management, Guilin Institute of Technology
南京大学金陵学院	Nanjing University Jingling College
贵州民族学院人文科技学院	College of Humanities and technology, Guizhou University for Nationalities
遵义医学院医学与科技学院	School of medicine and science and technology, Zunyi Medical College
南京理工大学紫金学院	Zijin College of Nanjing University of Technology
广东工业大学华立学院	Huali College of Guangdong University of Technology
广州大学松田学院	Songtian College of Guangzhou University
成都理工大学工程技术学院	School of engineering and technology, Chengdu University of Technology
四川师范大学成都学院	Chengdu College of Sichuan Normal University
西安交通大学城市学院	City College of Xi'an Jiaotong University
西北大学现代学院	Modern College of Northwest University
南京理工大学泰州科技学院	Taizhou Institute of science and technology, Nanjing University of Technology
东莞理工学院城市学院	City College of Dongguan Institute of Technology
北京航空航天大学北海学院	Beihai College of Beijing University of Aeronautics and Astronautics
上海师范大学天华学院	Tianhua college, Shanghai Normal University
中山大学新华学院	Xinhua College of Sun Yat sen University
四川大学锦城学院	Jincheng College of Sichuan University
南京师范大学中北学院	North College of Nanjing Normal University
南京医科大学康达学院	Kangda College of Nanjing Medical University
苏州大学文正学院	Wenzheng College of Suzhou University
苏州大学应用技术学院	Applied Technology College of Soochow University
苏州科技学院天平学院	Tianping College of Suzhou University of science and technology
扬州大学广陵学院	Guangling College of Yangzhou University
徐州师范大学科文学院	School of science and technology, Xuzhou Normal University
南京财经大学红山学院	Hongshan College of Nanjing University of Finance and Economics
江苏工业学院怀德学院	Huaide College of Jiangsu Institute of Technology
南通大学杏林学院	Xinglin College of Nantong University
中国海洋大学青岛学院	Qingdao College of Ocean University of China
曲阜师范大学杏坛学院	Xingtan College of Qufu Normal University
山东师范大学历山学院	Lishan College of Shandong Normal University
聊城大学东昌学院	Dongchang College of Liaocheng University
河南农业大学华豫学院	Huayu College of Henan Agricultural University
长安大学兴华学院	Xinghua College of Chang'an University
华中农业大学楚天学院	Chutian College of Huazhong Agricultural University
同济大学同科学院	Tongji University
西南财经大学天府学院	Tianfu College of Southwest University of Finance and Economics
四川大学锦江学院	Sichuan University Jinjiang College
河南财经学院成功学院	Chenggong College of Henan University of Finance and Economics
西安理工大学高科学院	College of science and technology, Xi'an University of Technology
西安科技大学高新学院	High Tech College of Xi'an University of science and technology
四川音乐学院绵阳艺术学院	Mianyang Art College of Sichuan Conservatory of music
西南科技大学城市学院	City College of Southwest University of science and technology
福建农林大学金山学院	Jinshan college, Fujian agriculture and Forestry University
天津财经大学珠江学院	Zhujiang College of Tianjin University of Finance and Economics
北京师范大学-香港浸会大学联合国际学院	Beijing Normal University Hong Kong Baptist University Joint International College
浙江大学宁波理工学院	Ningbo Institute of technology, Zhejiang University
北京师范大学珠海分校	Beijing Normal University Zhuhai branch
大连理工大学城市学院	City College of Dalian University of Technology
浙江大学城市学院	Zhejiang University City College
武汉大学东湖分校	Wuhan University East Lake Branch
华中师范大学汉口分校	Central China Normal University Hankou branch
电子科技大学中山学院	Zhongshan college, University of Electronic Science and technology
武汉科技大学中南分校	Central South Branch of Wuhan University of science and technology
华中科技大学武昌分校	Huazhong University of Technology Wuchang Branch
北京工业职业技术学院	Beijing Institute of Technology
北京信息职业技术学院	Beijing Institute of information technology
北京电子科技职业学院	Beijing Vocational College of Electronic Science and technology
北京科技经营管理学院	Beijing Institute of science and technology management
北京吉利学院	Beijing Geely University
北京农业职业学院	Beijing Agricultural Vocational College
北京戏曲艺术职业学院	Beijing Vocational College of traditional Chinese opera
北京京北职业技术学院	Beijing Jingbei vocational and Technical College
北京经贸职业学院	Beijing Vocational College of economics and trade
北京经济技术职业学院	Beijing Vocational College of economics and technology
北京北大方正软件职业技术学院	Founder Software Institute of Beijing University
北京财贸职业学院	Beijing Vocational College of Finance and trade
民办天狮职业技术学院	Private Tianshi vocational and Technical College
天津滨海职业学院	Tianjin Coastal Polytechnic
天津工程职业技术学院	tianjin engineering technical institute
天津现代职业技术学院	tianjin modern vocational technology college
天津轻工职业技术学院	Tianjin Light Industry Vocational Technical College
天津电子信息职业技术学院	Tianjin Institute of electronic information technology
天津公安警官职业学院	tianjin public security professional college
天津机电职业技术学院	Tianjin Institute of mechanical and electrical technology
天津渤海职业技术学院	Tianjin Bohai vocational and Technical College
天津中德职业技术学院	Tianjin Sino-German Vocational Technical College
天津青年职业学院	Tianjin Youth Vocational College
天津商务职业学院	Tianjin College of Commerce
天津交通职业学院	Tianjin Transportation Vocational College
天津开发区职业技术学院	TEDA vocational and Technical College
河北工业职业技术学院	Hebei Institute of Technology
邯郸职业技术学院	handan polytechnic college
石家庄职业技术学院	Shijiazhuang vocational technology institute
张家口职业技术学院	zhangjiakou vocational and technical college
沧州职业技术学院	Cangzhou vocational and Technical College
石家庄铁路职业技术学院	shijiazhuang institute of railway technology
河北能源职业技术学院	Hebei Energy vocational and Technical College
保定职业技术学院	Baoding vocational and Technical College
河北建材职业技术学院	Hebei building materials vocational and Technical College
河北政法职业学院	Hebei Vocational College of politics and law
河北石油职业技术学院	hebei technical college of petroleum profession
衡水职业技术学院	Hengshui vocational and Technical College
秦皇岛职业技术学院	Qinhuangdao vocational and Technical College
唐山职业技术学院	Tangshan Vocational and Technical College
唐山工业职业技术学院	Tangshan Institute of Technology
石家庄计算机职业学院	Shijiazhuang computer vocational college
石家庄法商职业学院	Shijiazhuang Vocational College of law and business
河北省艺术职业学院	Hebei art vocational college
河北交通职业技术学院	Hebei communications vocational and Technical College
河北化工医药职业技术学院	Hebei Institute of chemical industry and medicine
秦皇岛外国语职业学院	Qinhuangdao Foreign Language Vocational College
石家庄信息工程职业学院	shijiazhuang information engineering vocational college
石家庄外经贸职业学院	Shijiazhuang Vocational College of foreign trade and economic cooperation
石家庄东方美术职业学院	Shijiazhuang Oriental Art Vocational College
河北京都高尔夫职业学院	Hebei Jingdu Golf Vocational College
山西建筑职业技术学院	shanxi architectural college
山西工程职业技术学院	shanxi engineering vocational college
晋城职业技术学院	Jincheng vocational and Technical College
北岳职业技术学院	Beiyue vocational and Technical College
山西生物应用职业技术学院	Shanxi Institute of biological technology
山西交通职业技术学院	Shanxi Communications vocational and Technical College
山西兴华职业学院	Shanxi Xinghua Vocational College
长治职业技术学院	Changzhi vocational and Technical College
山西艺术职业学院	Shanxi art vocational college
阳泉职业技术学院	Yangquan vocational and Technical College
山西水利职业技术学院	shanxi conservancy technical college
山西林业职业技术学院	Shanxi Forestry Vocational and Technical College
山西财贸职业技术学院	Shanxi Vocational College of Finance and trade
山西戏剧职业学院	Shanxi Drama Vocational College
山西机电职业技术学院	Shanxi electromechanical vocational and Technical College
临汾职业技术学院	Linfen vocational and Technical College
山西综合职业技术学院	Shanxi comprehensive vocational and Technical College
太原城市职业技术学院	Taiyuan City Vocational and Technical College
山西煤炭职业技术学院	Shanxi coal vocational and Technical College
包头职业技术学院	Baotou vocational and Technical College
内蒙古建筑职业技术学院	inner mongolia technical college of construction
兴安职业技术学院	Xing'an vocational and Technical College
内蒙古警察职业学院	Inner Mongolia Police Professional College
内蒙古体育职业学院	Inner Mongolia Institute of Physical Education
包头轻工职业技术学院	Baotou Light Industry Vocational Technical College
呼和浩特职业学院	Hohhot Vocational College
渤海船舶职业学院	Bohai Shipbuilding Vocational College
盘锦职业技术学院	Panjin vocational and Technical College
辽宁金融职业学院	Liaoning financial Vocational College
大连职业技术学院	Dalian Vocational and Technical College
大连商务职业学院	dalian business institute
辽阳职业技术学院	Liaoyang vocational and Technical College
营口职业技术学院	Yingkou vocational and Technical College
大连艺术职业学院	Dalian Art College
大连东软信息技术职业学院	Dalian Neusoft Information Technology Vocational College
辽宁石化职业技术学院	Liaoning Petrocchemical Vocational And Technology
辽宁经济职业技术学院	Liaoning Vocational College of Economics
辽宁机电职业技术学院	liaoning jidian polytechnic
辽宁广告职业学院	Liaoning Advertising Vocational College
辽宁信息职业技术学院	liaoning information vocational technical college
辽宁体育运动职业技术学院	Liaoning Sports Vocational and Technical College
辽宁林业职业技术学院	Liaoning Forestry Vocational and Technical College
沈阳航空职业技术学院	Shanyang Aviation Vocational Technical College
沈阳职业技术学院	shenyang polytechnic college
吉林交通职业技术学院	jilin communications polytechnic
辽源职业技术学院	Liaoyuan vocational and Technical College
吉林对外经贸职业学院	Jilin Vocational College of foreign trade and economic cooperation
长春东方职业学院	Changchun Oriental vocational college
吉林电子信息职业技术学院	jilin technology college of electronic information
吉林工业职业技术学院	Jilin Institute of Technology
吉林司法警官职业学院	Jilin Judicial Police Vocational College
吉林农业工程职业技术学院	Jilin Agricultural Engineering Vocational and Technical College
长春职业技术学院	Changchun vocational and Technical College
黑龙江建筑职业技术学院	Heilongjiang Vocational College of Architecture
伊春职业学院	Yichun Vocational College
黑龙江司法警官职业学院	Heilongjiang Judicial Police Vocational College
齐齐哈尔职业学院	Qiqihar Vocational College
黑龙江林业职业技术学院	Heilongjiang Forestry Vocational and Technical College
黑龙江农业职业技术学院	Heilongjiang Agricultural Vocational and Technical College
黑龙江农业工程职业学院	Heilongjiang Agricultural Engineering Vocational College
大庆职业学院	Daqing Vocational College
黑龙江农垦职业学院	Heilongjiang Nongken Vocational College
哈尔滨职业技术学院	Harbin vocational and Technical College
哈尔滨电力职业技术学院	Harbin Electric Power Vocational and Technical College
哈尔滨铁道职业技术学院	harbin railway technical college
大兴安岭职业学院	Daxinganling Vocational College
黑龙江职业学院	Heilongjiang Vocational College
黑龙江农业经济职业学院	Heilongjiang Vocational College of Agricultural Economics
黑龙江艺术职业学院	Heilongjiang art vocational college
哈尔滨华夏计算机职业技术学院	Harbin Huaxia computer vocational and Technical College
黑龙江工商职业技术学院	Heilongjiang Vocational College of industry and Commerce
上海建峰职业技术学院	Shanghai Jianfeng vocational and Technical College
上海科学技术职业学院	Shanghai Vocational College of science and technology
上海海事职业技术学院	Shanghai Maritime Vocational & Technical College
上海电子信息职业技术学院	Shanghai Institute of electronic information technology
上海民航职业技术学院	Shanghai Civil Aviation Vocational and Technical College
上海城市管理职业技术学院	Shanghai Vocational College of urban management
上海行健职业学院	Shanghai Xingjian Polytechnic College
上海农林职业技术学院	Shanghai Vocational College of agriculture and Forestry
民办明达职业技术学院	Private Mingda vocational and Technical College
连云港职业技术学院	Lianyungang Technical College
南京工业职业技术学院	nanjing institute of industry technology
徐州建筑职业技术学院	Xuzhou Institute of Architecture
泰州职业技术学院	Taizhou vocational and Technical College
无锡职业技术学院	Wuxi Institute of Technology
南通纺织职业技术学院	nantong textile vocational technology college
苏州工艺美术职业技术学院	Suzhou Art & Design Technology Institute
常州信息职业技术学院	Changzhou College of Information Technology
南通航运职业技术学院	nantong shipping college
无锡商业职业技术学院	Wuxi Institute of Commerce
南京交通职业技术学院	Nanjing Communications vocational and Technical College
淮安信息职业技术学院	huaian college of information technology
江苏畜牧兽医职业技术学院	Jiangsu College of animal husbandry and veterinary technology
常州纺织服装职业技术学院	Changzhou Textile Garment Institute
苏州农业职业技术学院	Suzhou Agricultural Vocational and Technical College
苏州工业园区职业技术学院	Suzhou Industrial Park vocational and Technical College
南京化工职业技术学院	Nanjing Institute of Chemical Technology
正德职业技术学院	Zhengde vocational and Technical College
无锡南洋职业技术学院	Wuxi Nanyang vocational and Technical College
钟山职业技术学院	Zhongshan vocational and Technical College
炎黄职业技术学院	Yanhuang vocational and Technical College
金肯职业技术学院	jinken college of technology
紫琅职业技术学院	Zilang vocational and Technical College
九州职业技术学院	Kyushu Polytechnic
硅湖职业技术学院	Silicon Lake College
江阴职业技术学院	jiangyin polytechnic college
宿迁职业技术学院	Suqian vocational and Technical College
南京信息职业技术学院	Nanjing Institute of information technology
常州工程职业技术学院	changzhou institute of engineering technology
常州轻工职业技术学院	changzhou institute of light industry technology
常州机电职业技术学院	Changzhou electromechanical vocational and Technical College
徐州工业职业技术学院	xuzhou college of industrial technology
江苏食品职业技术学院	Jiangsu food vocational and Technical College
江苏农林职业技术学院	Jiangsu Vocational College of agriculture and Forestry
江苏信息职业技术学院	Jiangsu College of Information Technology
南京特殊教育师范学院	Nanjing Normal University of special education
浙江艺术职业学院	Zhejiang Art Vocational College
浙江交通职业技术学院	Zhejiang communications vocational and Technical College
杭州职业技术学院	Hangzhou Polytechnic
义乌工商职业技术学院	Yiwu Industrial and Commercial College
宁波职业技术学院	Ningbo Polytechnic
温州职业技术学院	Wenzhou Vocational and Technical College
浙江工商职业技术学院	zhejiang business technology institute
浙江工贸职业技术学院	Zhejiang Institute of industry and trade
绍兴越秀外国语职业学院	Shaoxing Yuexiu Foreign Language Vocational College
台州职业技术学院	Taizhou vocational and Technical College
浙江机电职业技术学院	Zhejiang electromechanical vocational and Technical College
浙江商业职业技术学院	Zhejiang Vocational College of Commerce
浙江警官职业学院	Zhejiang Police Vocational Academy
浙江工业职业技术学院	Zhejiang Institute of Technology
浙江旅游职业学院	Zhejiang Tourism Vocational College
浙江金融职业学院	Zhejiang Financial College
浙江经济职业技术学院	Zhejiang Vocational College of Economics
浙江建设职业技术学院	zhejiang college of construction
浙江经贸职业技术学院	Zhejiang economic and trade Polytechnic
浙江育英职业技术学院	Zhejiang Yuying vocational and Technical College
绍兴托普信息职业技术学院	Shaoxing top Information Vocational and Technical College
嘉兴职业技术学院	Jiaxing Vocational and Technical College
湖州职业技术学院	Huzhou Vocational and Technical College
衢州职业技术学院	Quzhou vocational and Technical College
丽水职业技术学院	Lishui vocational and Technical College
宁波大红鹰职业技术学院	Ningbo Dahongying vocational and Technical College
浙江东方职业技术学院	Zhejiang Oriental vocational and Technical College
安徽职业技术学院	Anhui Vocational and Technical College
民办三联职业技术学院	Private Sanlian vocational and Technical College
淮北职业技术学院	Huaibei vocational and Technical College
芜湖职业技术学院	Wuhu Institute of Technology
万博科技职业学院	Wanbo Vocational College of science and technology
铜陵职业技术学院	Tongling vocational and Technical College
安徽商贸职业技术学院	Anhui Business College of Vocational Technology
安徽警官职业学院	Anhui Police Officer Vocational College
安徽水利水电职业技术学院	Anhui Water Conservancy Technical College
淮南职业技术学院	Huainan Vocational Technical College
安徽电子信息职业技术学院	Anhui electronic information vocational and Technical College
安徽工贸职业技术学院	anhui industry &trade vocational technical college
安徽工业经济职业技术学院	Anhui Technical College of Industry and Economy
安徽交通职业技术学院	Anhui Communications Vocational & Technical College
安徽体育运动职业技术学院	Anhui Institute of Sports Technology
阜阳职业技术学院	Fuyang vocational and Technical College
合肥通用职业技术学院	hefei institute of general professional technology
六安职业技术学院	Luan Vocation Technology College
民办安徽文达信息技术职业学院	Private Anhui Wenda Information Technology Vocational College
民办合肥经济技术职业学院	Private Hefei Vocational College of economics and technology
宿州职业技术学院	Suzhou Vocational and Technical College
安徽广播影视职业技术学院	Anhui Broadcasting Movie and Television College
民办安徽明星科技职业学院	Private Anhui Mingxing Vocational College of science and technology
池州职业技术学院	chizhou vocational technical college
滁州职业技术学院	Chuzhou vocational and Technical College
宣城职业技术学院	Xuancheng vocational and Technical College
民办安徽外国语职业技术学院	Private Anhui Foreign Language Vocational and Technical College
巢湖职业技术学院	Chaohu vocational and Technical College
福建船政交通职业学院	Fujian shipping & Transportation Vocational College
福州职业技术学院	Fuzhou Vocational and Technical College
福州英华职业学院	Fuzhou Yinghua Vocational College
厦门华夏职业学院	Xiamen Huaxia Vocational College
泉州光电信息职业学院	Quanzhou Optoelectronic Information Vocational College
漳州职业技术学院	zhangzhou institute of technology
泉州华光职业学院	Quanzhou Huaguang Vocational College
福建信息职业技术学院	Fujian Polytechnic of Information Technology
福建水利电力职业技术学院	Fujian Vocational College of water conservancy and electric power
福建电力职业技术学院	Fujian Electric Power Vocational and Technical College
福建林业职业技术学院	fujian forestry vocational technical college
福建农业职业技术学院	Fujian Agricultural Vocational and Technical College
厦门海洋职业技术学院	Xiamen ocean vocational and Technical College
九江职业技术学院	Jiujiang Vocational and Technical College
江西工业职业技术学院	Jiangxi Institute of Technology
江西科技学院	Jiangxi University of science and technology
江西司法警官职业学院	jiangxi justice police vocational college
江西电力职业技术学院	Jiangxi Electric Power Vocational and Technical College
江西旅游商贸职业学院	Jiangxi Vocational College of tourism and Commerce
江西机电职业技术学院	Jiangxi electromechanical vocational and Technical College
江西陶瓷工艺美术职业技术学院	Jiangxi Vocational College of ceramic arts and crafts
江西环境工程职业学院	Jiangxi Environmental Engineering Vocational College
江西信息应用职业技术学院	Jiangxi Vocational College of information application
江西工业工程职业技术学院	Jiangxi Polytechnic of Industrial Engineering
江西交通职业技术学院	Jiangxi communications vocational and Technical College
江西艺术职业学院	Jiangxi Art Vocational College
江西财经职业学院	Jiangxi Vocational College of Finance and Economics
江西应用技术职业学院	Jiangxi College of Applied Technology
鹰潭职业技术学院	Yingtan vocational and Technical College
江西现代职业技术学院	jiangxi modern polytechnic college
山东商业职业技术学院	shandong institute of commerce and technology
民办山东万杰医学高等专科学校	Private Shandong Wanjie Medical College
日照职业技术学院	Rizhao vocational and Technical College
山东水利职业学院	Shandong Water Polytechnic
济南铁道职业技术学院	Jinan Railway Vocational and Technical College
莱芜职业技术学院	Laiwu Polytechnic
威海职业学院	Weihai vocational college
青岛职业技术学院	Qingdao Technical College
聊城职业技术学院	Liaocheng vocational and Technical College
济宁职业技术学院	Jining vocational and Technical College
山东劳动职业技术学院	Shandong Vocational and Technical College of labor
曲阜远东职业技术学院	Qufu Fareast Vocational and Technical College
烟台职业学院	yantai vocational college
滨州职业学院	Binzhou Polytechnic
潍坊职业学院	Weifang Vocational College
东营职业学院	Dongying Vocational College
山东服装职业学院	Shandong Clothing Vocational College
德州科技职业学院	Dezhou Vocational College of science and technology
潍坊科技职业学院	Weifang Vocational College of science and technology
山东力明科技职业学院	Shandong Liming Vocational College of science and technology
山东畜牧兽医职业学院	Shandong Animal Husbandry and Veterinary College
山东圣翰财贸职业学院	Shandong Shenghan Vocational College of Finance and trade
淄博职业学院	zibo vocational institute
山东交通职业学院	shandong transport vocational college
山东信息职业技术学院	Shandong Institute of information technology
山东外贸职业学院	Shandong Vocational College of foreign trade
青岛酒店管理职业技术学院	Qingdao hotel management vocational and Technical College
山东英才职业技术学院	Shandong Yingcai vocational and Technical College
山东大王职业学院	Shandong Dawang Vocational College
青岛飞洋职业技术学院	Qingdao Feiyang vocational and Technical College
